COUNTRY,ADM1_NAME,ADM2_NAME,ISO3,ADM1_PCODE,ADM2_PCODE,Coastal hazards,Drought,Earthquake,Environmental Degradation,Flood,Heatwave,Landslide,Lightning,Storms & Cyclone,Volcano,Wildfire,"Zoonoses, Plants & Pests",NATURAL,Conflict Intensity,Conflict Risk,Hazardous Material,Internal Violence,Vehicle Accidents,HUMAN,HAZARD,Development & Poverty,Economic Dependency,Habitat,Livelihoods,SOCIO-ECONOMIC VULNERABILITY,Displaced People,Health Conditions,Children Health and Nutrition,Ecomonic,VULNERABLE GROUPS,VULNERABILITY,Access to health care,Economic capacity,WASH,Communication,Education,INFRASTRUCTURE,DRR implementation,Governance,INSTITUTIONAL,LACK OF COPING CAPACITY,RISK,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Rufiji,TZA,TZ06,TZ0605,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Mafia,TZA,TZ06,TZ0606,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Pwani,Kibaha Urban,TZA,TZ06,TZ0607,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dar-es-salaam,Kinondoni,TZA,TZ07,TZ0701,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dar-es-salaam,Ilala,TZA,TZ07,TZ0702,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dar-es-salaam,Temeke,TZA,TZ07,TZ0703,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Kilwa,TZA,TZ08,TZ0801,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Lindi,TZA,TZ08,TZ0802,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Nachingwea,TZA,TZ08,TZ0803,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Liwale,TZA,TZ08,TZ0804,0.0,,,,,,,,,,,,0.0,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
