ADM2_PCODE,ADM2_NAME,ADM1_PCODE,ADM1_NAME,COUNTRY,ISO3,ADMIN2_POPULATION,ADMIN2_AREA_SQ_KM,ADMIN2_GDP,ADMIN1_POPULATION,ADMIN1_AREA_SQ_KM,ADMIN1_GDP,ADMIN0_POPULATION,ADMIN0_AREA_SQ_KM,ADMIN0_GDP,,,,,,,,,,,,,,
TZ2102,Hanang,TZ21,Manyara,United Republic of Tanzania,TZA,"452,044",,,"2,376,693",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2103,Mbulu,TZ21,Manyara,United Republic of Tanzania,TZA,"522,232",,,"2,376,693",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2104,Simanjiro,TZ21,Manyara,United Republic of Tanzania,TZA,"274,526",,,"2,376,693",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2105,Kiteto,TZ21,Manyara,United Republic of Tanzania,TZA,"492,844",,,"2,376,693",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2106,Babati Urban,TZ21,Manyara,United Republic of Tanzania,TZA,"130,653",,,"2,376,693",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2201,Njombe Urban,TZ22,Njombe,United Republic of Tanzania,TZA,"170,700",,,"875,896",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2202,Wanging'ombe,TZ22,Njombe,United Republic of Tanzania,TZA,"212,661",,,"875,896",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2203,Makete,TZ22,Njombe,United Republic of Tanzania,TZA,"100,055",,,"875,896",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2204,Njombe,TZ22,Njombe,United Republic of Tanzania,TZA,"112,626",,,"875,896",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2205,Ludewa,TZ22,Njombe,United Republic of Tanzania,TZA,"156,323",,,"875,896",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2206,Makambako Township Authority,TZ22,Njombe,United Republic of Tanzania,TZA,"123,531",,,"875,896",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2301,Mpanda Urban,TZ23,Katavi,United Republic of Tanzania,TZA,"172,607",,,"943,815",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2302,Mpanda,TZ23,Katavi,United Republic of Tanzania,TZA,"299,906",,,"943,815",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2303,Mlele,TZ23,Katavi,United Republic of Tanzania,TZA,"471,302",,,"943,815",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2401,Bariadi,TZ24,Simiyu,United Republic of Tanzania,TZA,"820,969",,,"2,712,523",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2402,Itilima,TZ24,Simiyu,United Republic of Tanzania,TZA,"613,341",,,"2,712,523",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2403,Meatu,TZ24,Simiyu,United Republic of Tanzania,TZA,"429,632",,,"2,712,523",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2404,Maswa,TZ24,Simiyu,United Republic of Tanzania,TZA,"456,273",,,"2,712,523",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2405,Busega,TZ24,Simiyu,United Republic of Tanzania,TZA,"392,309",,,"2,712,523",0,0,71284371.86,0,0,,,,,,,,,,,,,,
