Dimension,,,,,,Hazards & Exposure,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2023,,2000 - 2022,2000-2022,"n/a

modelled future risk",1980-2018,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measurament,,,,,,index,,meters / year,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Liwale,TZA,TZ08,TZ0804,5.27E-05,No data,0.00,0.033180412,0.045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Ruangwa,TZA,TZ08,TZ0805,0,No data,0.00,0.063438257,0.012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Lindi,Lindi Urban,TZA,TZ08,TZ0806,0,0.23414841,0.00,0.176,0.050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,Mtwara,TZA,TZ09,TZ0901,0.565979187,0.132203795,0.00,0.354743083,0.112,0.002428498,18.10675049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,Newala,TZA,TZ09,TZ0902,0,No data,0.00,0.194772869,0.008,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,Masasi,TZA,TZ09,TZ0903,0,No data,0.00,0.068147247,0.007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,Tandahimba,TZA,TZ09,TZ0904,2.84E-05,No data,0.00,0.19702381,0.016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,Mtwara Urban,TZA,TZ09,TZ0905,0.999999973,0.753990683,0.00,0.185483871,0.022,0.017397634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,Nanyumbu,TZA,TZ09,TZ0906,0,No data,0.00,0.052570093,0.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mtwara,Masasi  Township Authority,TZA,TZ09,TZ0907,0,No data,0.00,0.060260586,0.000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Ruvuma,Tunduru,TZA,TZ10,TZ1001,0,No data,0.00,0.047959251,0.010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Ruvuma,Songea,TZA,TZ10,TZ1002,0,No data,0.00,0.073876356,0.008,0.057556854,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Ruvuma,Mbinga,TZA,TZ10,TZ1003,0.938343045,No data,0.00,0.058130794,0.001,0.216792087,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Ruvuma,Songea Urban,TZA,TZ10,TZ1004,0,No data,0.00,0.029598309,0.000,0.011059251,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Ruvuma,Namtumbo,TZA,TZ10,TZ1005,0,No data,0.00,0.03031992,0.002,0.006533022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Ruvuma,Nyasa,TZA,TZ10,TZ1006,0.98933582,No data,0.00,0.081446166,0.009,0.093571187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Iringa,Iringa,TZA,TZ11,TZ1101,0.236641452,No data,0.00,0.014394581,0.047,0.032855845,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Iringa,Mufindi,TZA,TZ11,TZ1102,0,No data,0.00,0.161035108,0.007,0.037625504,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Iringa,Iringa Urban,TZA,TZ11,TZ1103,0,No data,0.00,0,0.046,0.262787042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
